"Site","Site_type","Transect","Plant_sp","Plot_Cover","Relative_cover_transect","Floral_simpson_index","Floral_shannon_index","Floral_species_richness","average_flower_cover"
"DES","Reference","T4","Crepis capillaris",14.05,0.0177935943060498,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Daucus carota",14.05,0.148744443968043,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Daucus carota",14.05,0.148744443968043,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Daucus carota",14.05,0.148744443968043,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Galium album",14.05,0.0237247924080664,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Galium album",14.05,0.0237247924080664,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Galium album",14.05,0.0237247924080664,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",14.05,0.192635832802611,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",14.05,0.192635832802611,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",14.05,0.192635832802611,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Prunella vulgaris",14.05,0.0191656304935043,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Prunella vulgaris",14.05,0.0191656304935043,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Prunella vulgaris",14.05,0.0191656304935043,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",14.05,0.188746479712793,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",14.05,0.188746479712793,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",14.05,0.188746479712793,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",14.05,0.185346890556759,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",14.05,0.185346890556759,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",14.05,0.185346890556759,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",4.1,0.192635832802611,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",4.1,0.192635832802611,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",4.1,0.192635832802611,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Plantago lanceolata",4.1,0.0910960916838084,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Plantago lanceolata",4.1,0.0910960916838084,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Plantago lanceolata",4.1,0.0910960916838084,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Ranunculus flammula",4.1,0.024390243902439,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Ranunculus flammula",4.1,0.024390243902439,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Ranunculus flammula",4.1,0.024390243902439,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","ranunculus sp",4.1,0.0545107258301499,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","ranunculus sp",4.1,0.0545107258301499,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","ranunculus sp",4.1,0.0545107258301499,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",4.1,0.188746479712793,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",4.1,0.188746479712793,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",4.1,0.188746479712793,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",4.1,0.185346890556759,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",4.1,0.185346890556759,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",4.1,0.185346890556759,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T5","Campanula rotundifolia",78.05,0.0431613134648716,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Campanula rotundifolia",78.05,0.0431613134648716,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Campanula rotundifolia",78.05,0.0431613134648716,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Centaurea jacea",78.05,0.00853155429931087,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Centaurea jacea",78.05,0.00853155429931087,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Centaurea jacea",78.05,0.00853155429931087,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Crepis biennis",78.05,0.00656434458425654,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Crepis biennis",78.05,0.00656434458425654,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Crepis biennis",78.05,0.00656434458425654,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Crepis capillaris",78.05,0.036419468915419,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Crepis capillaris",78.05,0.036419468915419,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Crepis capillaris",78.05,0.036419468915419,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Daucus carota",78.05,0.726156851729345,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Daucus carota",78.05,0.726156851729345,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Daucus carota",78.05,0.726156851729345,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Dianthus deltoides",78.05,0.0356900730997554,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Dianthus deltoides",78.05,0.0356900730997554,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Dianthus deltoides",78.05,0.0356900730997554,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Galium album",78.05,0.0339483909685716,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Galium album",78.05,0.0339483909685716,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Galium album",78.05,0.0339483909685716,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Lotus corniculatus",78.05,0.0149509279071487,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Lotus corniculatus",78.05,0.0149509279071487,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Lotus corniculatus",78.05,0.0149509279071487,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Trifolium pratense",78.05,0.0872260423191286,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Trifolium pratense",78.05,0.0872260423191286,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Trifolium pratense",78.05,0.0872260423191286,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Trifolium repens",78.05,0.00128122998078155,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Trifolium repens",78.05,0.00128122998078155,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Trifolium repens",78.05,0.00128122998078155,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Agrimonia eupatoria",32.95,0.00303490136570561,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Agrimonia eupatoria",32.95,0.00303490136570561,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Agrimonia eupatoria",32.95,0.00303490136570561,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Campanula rotundifolia",32.95,0.0431613134648716,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Campanula rotundifolia",32.95,0.0431613134648716,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Campanula rotundifolia",32.95,0.0431613134648716,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Centaurea jacea",32.95,0.00853155429931087,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Centaurea jacea",32.95,0.00853155429931087,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Centaurea jacea",32.95,0.00853155429931087,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Crepis capillaris",32.95,0.036419468915419,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Crepis capillaris",32.95,0.036419468915419,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Crepis capillaris",32.95,0.036419468915419,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Daucus carota",32.95,0.726156851729345,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Daucus carota",32.95,0.726156851729345,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Daucus carota",32.95,0.726156851729345,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Dianthus deltoides",32.95,0.0356900730997554,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Dianthus deltoides",32.95,0.0356900730997554,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Dianthus deltoides",32.95,0.0356900730997554,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Galium album",32.95,0.0339483909685716,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Galium album",32.95,0.0339483909685716,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Galium album",32.95,0.0339483909685716,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Galium verum",32.95,0.00303490136570561,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Galium verum",32.95,0.00303490136570561,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Galium verum",32.95,0.00303490136570561,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Lotus corniculatus",32.95,0.0149509279071487,0.0249041220028003,0.0811113391318244,12,29.3772727272727
"DES","Reference","T5","Lotus corniculatus",32.95,0.0149509279071487,0.0571375986996318,0.163466488019024,12,29.3772727272727
"DES","Reference","T5","Lotus corniculatus",32.95,0.0149509279071487,0.0419003647873148,0.123013018434062,12,29.3772727272727
"DES","Reference","T5","Trifolium pratense",32.95,0.0872260423191286,0.0249041220028003,0.0811113391318244,12,29.3772727272727
